name,playcount,listeners,mbid,url,streamable
Fatboy Slim,35430144,2030758,ba81eb4a-0c89-489f-9982-0154b8083a28,https://www.last.fm/music/Fatboy+Slim,0
Timbaland,31453621,2022986,daa09819-5da5-4c7a-8bef-eb372bb27ff1,https://www.last.fm/music/Timbaland,0
Foster the People,65610236,2021246,e0e1a584-dd0a-4bd1-88d1-c4c62895039d,https://www.last.fm/music/Foster+the+People,0
Billy Joel,40468550,2020317,64b94289-9474-4d43-8c93-918ccc1920d1,https://www.last.fm/music/Billy+Joel,0
Ludacris,20934165,2019226,0638ba22-040f-438d-83a5-9b670c4adaf5,https://www.last.fm/music/Ludacris,0
Bob Marley,64052360,2018121,ed2ac1e9-d51d-4eff-a2c2-85e81abd6360,https://www.last.fm/music/Bob+Marley,0
Train,29938780,2017386,e273f427-3287-472d-84fe-1a9f2f91e5e2,https://www.last.fm/music/Train,0
Justin Bieber,72695554,2017365,e0140a67-e4d1-4f13-8a01-364355bee46e,https://www.last.fm/music/Justin+Bieber,0
Soundgarden,50872075,2017331,153c9281-268f-4cf3-8938-f5a4593e5df4,https://www.last.fm/music/Soundgarden,0
Ed Sheeran,110210950,2011724,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,https://www.last.fm/music/Ed+Sheeran,0
Ne-Yo,27941239,2011683,,https://www.last.fm/music/Ne-Yo,0
Dido,39798039,2006420,d1353a0c-26fb-4318-a116-defde9c7c9ad,https://www.last.fm/music/Dido,0
Phil Collins,35078436,2002649,401c3991-b76b-499d-8082-9f2df958ef78,https://www.last.fm/music/Phil+Collins,0
New Order,62796956,2001524,f1106b17-dcbb-45f6-b938-199ccfab50cc,https://www.last.fm/music/New+Order,0
Fergie,24503457,2000606,4f9675d2-f6d5-486c-9b26-33dcca998500,https://www.last.fm/music/Fergie,0
M.I.A.,63157037,1998188,b22d45dd-deae-4663-a782-542db02e25cf,https://www.last.fm/music/M.I.A.,0
Destiny's Child,25749347,1989301,a796b92e-c137-4895-9c89-10f900617a4f,https://www.last.fm/music/Destiny%27s+Child,0
Robbie Williams,45970363,1987789,db4624cf-0e44-481e-a9dc-2142b833ec2f,https://www.last.fm/music/Robbie+Williams,0
Cream,27577987,1985108,be212372-2e70-429a-bd5c-86239716edc4,https://www.last.fm/music/Cream,0
